record_id,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,seismic_intensity,scenario,seismic_class
131075100076,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,江島杉山神社の銅製釣燈籠,6.146,都心西部直下地震,6強以上
131075100077,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,佐羽淡斎「墨多三絶」の漢詩碑,6.356,都心西部直下地震,6強以上
131075100078,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,亀田鵬斎「題隅田堤櫻花」の漢詩碑,6.285,都心西部直下地震,6強以上
131075100079,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,「吾嬬森碑」,6.279,都心西部直下地震,6強以上
131075100080,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,近松門左衛門供養碑(断片) ※非公開,6.315,都心西部直下地震,6強以上
131075100081,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,「一勇斎歌川先生墓表」(歌川国芳顕彰碑),6.163,都心西部直下地震,6強以上
131075100082,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,「勝川春英翁略傳」の碑,6.163,都心西部直下地震,6強以上
131075100083,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,初代歌川豊国筆塚(断片),6.315,都心西部直下地震,6強以上
131075100084,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,窪俊満「故郷の」の歌碑,6.206,都心西部直下地震,6強以上
131075100085,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,鈴木家旧蔵雛人形,6.05,都心西部直下地震,6強以上
131075100086,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,太田氏七代供養塔,6.305,都心西部直下地震,6強以上
131075100087,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,旗本太田資同墓碑,6.305,都心西部直下地震,6強以上
131075100088,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,隅田川神社資料,6.281,都心西部直下地震,6強以上
131075100089,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,矢掛弓雄関係石碑群,6.281,都心西部直下地震,6強以上
131075100090,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,木阿弥(元杢網)「けふよりも」の歌碑,6.281,都心西部直下地震,6強以上
131075100091,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,義士墓(那珂湊戦争関連資料),6.19,都心西部直下地震,6強以上
131075100092,13107,墨田区,Municipal,Unknown,有形文化財,歴史資料,point,回向院の石造歴史災害供養塔群,6.19,都心西部直下地震,6強以上
131075100095,13107,墨田区,Municipal,Unknown,民俗文化財,有形民俗文化財,point,牛嶋神社の石造狛犬 享保十四年銘 一対 文政十年銘 一対,6.084,都心西部直下地震,6強以上
131075100096,13107,墨田区,Municipal,Unknown,民俗文化財,有形民俗文化財,point,三囲神社の石造狛犬,6.163,都心西部直下地震,6強以上
131075100097,13107,墨田区,Municipal,Unknown,民俗文化財,有形民俗文化財,point,如意輪寺の六面六地蔵石幢,6.025,都心西部直下地震,6強以上
131075100098,13107,墨田区,Municipal,Unknown,民俗文化財,有形民俗文化財,point,正福寺の石造阿弥陀如来立像,6.31,都心西部直下地震,6強以上
131075100099,13107,墨田区,Municipal,Unknown,民俗文化財,有形民俗文化財,point,多聞寺の石造庚申塔(阿弥陀如来),6.294,都心西部直下地震,6強以上
131075100100,13107,墨田区,Municipal,Unknown,民俗文化財,有形民俗文化財,point,圓徳寺の石造庚申塔(釈迦如来),6.281,都心西部直下地震,6強以上
131075100101,13107,墨田区,Municipal,Unknown,民俗文化財,有形民俗文化財,point,吾嬬神社の石造狛犬,6.279,都心西部直下地震,6強以上
