record_id,municipality_code,municipality_name,designation_level,designation_status,heritage_type_major,heritage_type_detail_norm,entity_class,name,seismic_intensity,scenario,seismic_class
13104:72,13104,新宿区,Unknown,Unknown,未判定,未細分,point,済松寺文書,5.746,都心南部直下地震,6弱
13104:73,13104,新宿区,Unknown,Unknown,未判定,未細分,point,林光寺文書,6.068,都心南部直下地震,6強以上
13104:74,13104,新宿区,Unknown,Unknown,未判定,未細分,point,大聖院文書,5.841,都心南部直下地震,6弱
13104:75,13104,新宿区,Unknown,Unknown,未判定,未細分,point,法身寺文書,5.862,都心南部直下地震,6弱
13104:76,13104,新宿区,Unknown,Unknown,未判定,未細分,point,旭地蔵,5.9,都心南部直下地震,6弱
13104:77,13104,新宿区,Unknown,Unknown,未判定,未細分,point,子供合埋碑,5.9,都心南部直下地震,6弱
13104:78,13104,新宿区,Unknown,Unknown,未判定,未細分,point,式三番奉納額,5.834,都心南部直下地震,6弱
13104:79,13104,新宿区,Unknown,Unknown,未判定,未細分,point,旧鈴法寺江戸番所資料,5.862,都心南部直下地震,6弱
13104:80,13104,新宿区,Unknown,Unknown,未判定,未細分,point,空印の石手水鉢,5.948,都心南部直下地震,6弱
13104:81,13104,新宿区,Unknown,Unknown,未判定,未細分,point,堀部武庸加功遺跡之碑,5.853,都心南部直下地震,6弱
13104:82,13104,新宿区,Unknown,Unknown,未判定,未細分,point,幸国寺の日蓮聖人六百遠忌供養塔,5.845,都心南部直下地震,6弱
13104:83,13104,新宿区,Unknown,Unknown,未判定,未細分,point,太宗寺の切支丹灯籠,5.9,都心南部直下地震,6弱
13104:84,13104,新宿区,Unknown,Unknown,未判定,未細分,point,諸国旅人供養碑,5.747,都心南部直下地震,6弱
13104:85,13104,新宿区,Unknown,Unknown,未判定,未細分,point,服部半蔵の槍,6.022,都心南部直下地震,6強以上
13104:86,13104,新宿区,Unknown,Unknown,未判定,未細分,point,駿馬塚の碑,5.929,都心南部直下地震,6弱
13104:87,13104,新宿区,Unknown,Unknown,未判定,未細分,point,月桂寺の切支丹灯籠,5.879,都心南部直下地震,6弱
13104:88,13104,新宿区,Unknown,Unknown,未判定,未細分,point,木造七面明神半跏像及び宮殿,5.731,都心南部直下地震,6弱
13104:89,13104,新宿区,Unknown,Unknown,未判定,未細分,point,木造妙見菩薩立像及び宮殿,5.731,都心南部直下地震,6弱
